date	label	depth	Chl-Flu	temperature	salinity	sigmaT	Chl-a	EC	DO	voltage	density	turbidity	DO_mgL	EC25	ORP	pH	PAR
2024-01-18	2024-01-O-s1	0.000	0.78	11.868	34.011	25.846	0.78	38.860	111.24	8.23	1025.846	0.19	9.715	54648.362			
2024-01-18	2024-01-O-s1	0.500	0.74	11.919	34.026	25.848	0.74	38.924	111.09	8.16	1025.850	0.24	9.682	54652.343			
2024-01-18	2024-01-O-s1	1.000	0.72	11.921	34.047	25.864	0.72	38.948	111.13	8.16	1025.869	0.20	9.682	54682.230			
2024-01-18	2024-01-O-s1	1.500	0.86	11.937	34.038	25.854	0.86	38.953	111.17	8.16	1025.861	0.21	9.686	54662.861			
2024-01-18	2024-01-O-s1	2.000	0.93	11.940	34.034	25.850	0.93	38.953	111.13	8.17	1025.859	0.21	9.678	54656.145			
2024-01-18	2024-01-O-s1	2.500	0.88	11.914	33.978	25.811	0.88	38.871	111.02	8.16	1025.823	0.24	9.679	54585.096			
2024-01-18	2024-01-O-s1	3.000	1.01	11.832	33.997	25.842	1.01	38.814	111.03	8.17	1025.856	0.23	9.695	54644.368			
2024-01-18	2024-01-O-s1	3.500	1.02	11.789	33.958	25.819	1.02	38.733	111.00	8.17	1025.835	0.23	9.706	54603.462			
2024-01-18	2024-01-O-s1	4.000	1.10	11.593	33.903	25.814	1.10	38.495	110.89	8.16	1025.832	0.24	9.743	54599.519			
2024-01-18	2024-01-O-s1	4.500	1.01	11.553	33.970	25.873	1.01	38.525	110.84	8.17	1025.893	0.23	9.743	54711.231			
2024-01-18	2024-01-O-s1	5.000	1.13	11.505	33.877	25.809	1.13	38.387	110.86	8.18	1025.832	0.24	9.758	54595.632			
2024-01-18	2024-01-O-s1	5.500	0.99	11.463	33.927	25.856	0.99	38.399	110.77	8.17	1025.881	0.29	9.754	54684.056			
2024-01-18	2024-01-O-s1	6.000	1.11	11.405	33.953	25.887	1.11	38.370	110.70	8.16	1025.914	0.24	9.761	54744.428			
2024-01-18	2024-01-O-s1	6.500	1.13	11.425	33.996	25.917	1.13	38.434	110.67	8.17	1025.946	0.21	9.743	54800.128			
2024-01-18	2024-01-O-s1	7.000	1.41	11.425	33.929	25.864	1.41	38.366	110.62	8.16	1025.896	0.25	9.748	54703.085			
2024-01-18	2024-01-O-s1	7.500	1.46	11.413	33.921	25.860	1.46	38.347	110.71	8.17	1025.894	0.25	9.760	54695.954			
2024-01-18	2024-01-O-s1	8.000	1.11	11.401	33.908	25.853	1.11	38.323	110.81	8.17	1025.889	0.21	9.771	54683.165			
2024-01-18	2024-01-O-s1	8.500	1.66	11.393	33.903	25.850	1.66	38.311	110.76	8.16	1025.889	0.23	9.768	54679.211			
2024-01-18	2024-01-O-s1	9.000	1.11	11.359	33.912	25.864	1.11	38.288	110.61	8.17	1025.904	0.21	9.762	54706.025			
2024-01-18	2024-01-O-s1	9.500	1.28	11.371	33.886	25.841	1.28	38.274	110.74	8.19	1025.884	0.23	9.775	54663.636			
2024-01-18	2024-01-O-s1	10.000	1.22	11.389	33.914	25.860	1.22	38.319	110.58	8.17	1025.905	0.21	9.751	54697.853			
2024-01-18	2024-01-O-s1	10.500	1.10	11.377	33.910	25.858	1.10	38.304	110.49	8.17	1025.906	0.20	9.745	54696.323			
2024-01-18	2024-01-O-s1	11.000	1.18	11.382	33.895	25.846	1.18	38.293	110.49	8.17	1025.896	0.20	9.747	54673.597			
2024-01-18	2024-01-O-s1	11.500	1.09	11.370	33.903	25.854	1.09	38.291	110.71	8.18	1025.906	0.19	9.768	54689.616			
2024-01-18	2024-01-O-s1	12.000	1.11	11.372	33.911	25.860	1.11	38.300	110.60	8.16	1025.914	0.18	9.758	54700.446			
2024-01-18	2024-01-O-s1	12.500	1.54	11.368	33.894	25.848	1.54	38.280	110.58	8.17	1025.905	0.43	9.759	54678.528			
2024-01-18	2024-01-O-s1	13.000	1.21	11.343	33.902	25.859	1.21	38.265	110.47	8.17	1025.917	0.21	9.755	54699.746			
2024-01-18	2024-01-O-s1	13.500	1.01	11.314	33.868	25.837	1.01	38.204	110.42	8.17	1025.898	0.23	9.758	54661.257			
2024-01-18	2024-01-O-s1	14.000	0.88	11.301	33.876	25.846	0.88	38.200	110.48	8.16	1025.910	0.20	9.766	54679.454			
2024-01-18	2024-01-O-s1	14.500	0.87	11.283	33.884	25.855	0.87	38.191	110.40	8.14	1025.921	0.21	9.763	54697.808			
2024-01-18	2024-01-O-s1	15.000	0.94	11.280	33.881	25.854	0.94	38.186	110.47	8.19	1025.922	0.21	9.769	54695.450			
2024-01-18	2024-01-O-s1	15.500	0.98	11.269	33.868	25.845	0.98	38.162	110.53	8.16	1025.916	0.24	9.779	54680.467			
2024-01-18	2024-01-O-s1	16.000	0.83	11.242	33.884	25.863	0.83	38.154	110.38	8.17	1025.935	0.21	9.768	54714.938			
2024-01-18	2024-01-O-s1	16.500	1.57	11.215	33.904	25.883	1.57	38.149	110.45	8.16	1025.958	0.24	9.778	54754.510			
2024-01-18	2024-01-O-s1	17.000	0.86	11.227	33.793	25.795	0.86	38.049	110.49	8.17	1025.872	0.24	9.788	54589.328			
2024-01-18	2024-01-O-s1	17.500	0.80	11.178	33.828	25.831	0.80	38.038	110.34	8.17	1025.910	0.40	9.785	54659.682			
2024-01-18	2024-01-O-s1	18.000	0.78	11.164	33.847	25.848	0.78	38.045	110.10	8.17	1025.929	0.24	9.759	54692.619			
2024-01-18	2024-01-O-s1	18.500	0.81	11.177	33.931	25.911	0.81	38.141	110.13	8.16	1025.995	0.19	9.758	54809.670			
2024-01-18	2024-01-O-s1	19.000	1.50	11.221	33.894	25.874	1.50	38.146	110.24	8.17	1025.960	0.30	9.762	54739.289			
2024-01-18	2024-01-O-s1	19.500	1.99	11.248	33.878	25.857	1.99	38.155	110.23	8.16	1025.945	1.01	9.753	54706.010			
2024-01-18	2024-01-O-s4	0.000	0.59	15.390	34.539	25.530	0.59	42.791	108.33	8.25	1025.530	0.11	8.770	54263.264			
2024-01-18	2024-01-O-s4	0.500	0.60	15.388	34.575	25.558	0.60	42.829	108.02	8.19	1025.560	0.14	8.739	54314.598			
2024-01-18	2024-01-O-s4	1.000	0.64	15.376	34.573	25.560	0.64	42.816	107.96	8.19	1025.564	0.15	8.735	54316.388			
2024-01-18	2024-01-O-s4	1.500	0.66	15.351	34.550	25.547	0.66	42.766	107.94	8.16	1025.554	0.16	8.736	54290.527			
2024-01-18	2024-01-O-s4	2.000	0.81	15.283	34.503	25.526	0.81	42.648	108.00	8.20	1025.535	0.14	8.757	54243.736			
2024-01-18	2024-01-O-s4	2.500	0.77	15.325	34.567	25.566	0.77	42.759	107.94	8.18	1025.577	0.18	8.740	54322.371			
2024-01-18	2024-01-O-s4	3.000	0.74	15.270	34.541	25.559	0.74	42.679	108.08	8.19	1025.572	0.15	8.764	54302.379			
2024-01-18	2024-01-O-s4	3.500	0.93	15.094	34.530	25.589	0.93	42.495	107.82	8.20	1025.605	0.16	8.774	54337.145			
2024-01-18	2024-01-O-s4	4.000	0.86	15.069	34.533	25.597	0.86	42.474	108.19	8.20	1025.615	0.16	8.807	54348.697			
2024-01-18	2024-01-O-s4	4.500	0.81	15.045	34.536	25.604	0.81	42.454	108.04	8.19	1025.624	0.16	8.798	54359.654			
2024-01-18	2024-01-O-s4	5.000	1.10	15.039	34.532	25.602	1.10	42.444	108.10	8.20	1025.625	0.20	8.805	54355.641			
2024-01-18	2024-01-O-s4	5.500	1.21	15.045	34.540	25.607	1.21	42.459	108.23	8.20	1025.632	0.18	8.813	54365.824			
2024-01-18	2024-01-O-s4	6.000	0.78	15.049	34.534	25.602	0.78	42.457	108.38	8.22	1025.629	0.15	8.826	54357.077			
2024-01-18	2024-01-O-s4	6.500	0.79	15.037	34.529	25.600	0.79	42.439	108.42	8.19	1025.630	0.16	8.831	54352.736			
2024-01-18	2024-01-O-s4	7.000	0.89	15.029	34.520	25.595	0.89	42.423	108.44	8.19	1025.627	0.19	8.835	54342.820			
2024-01-18	2024-01-O-s4	7.500	1.01	15.007	34.534	25.611	1.01	42.416	108.42	8.20	1025.644	0.16	8.835	54368.892			
