genus_txid	genus_name	upper_txid	upper_name
1118494	Dactyliosolen	33836	Coscinodiscophyceae
1398095	Tenuicylindrus	33836	Coscinodiscophyceae
1577724	Conticribra	33836	Coscinodiscophyceae
163515	Leptocylindrus	33836	Coscinodiscophyceae
216776	Proboscia	33836	Coscinodiscophyceae
216789	Actinoptychus	33836	Coscinodiscophyceae
216800	Guinardia	33836	Coscinodiscophyceae
265539	Minidiscus	33836	Coscinodiscophyceae
265578	Attheya	33836	Coscinodiscophyceae
2802208	Mediolabrus	33836	Coscinodiscophyceae
2842	Skeletonema	33836	Coscinodiscophyceae
29203	Cyclotella	33836	Coscinodiscophyceae
3004	Rhizosolenia	33836	Coscinodiscophyceae
3006	Stephanopyxis	33836	Coscinodiscophyceae
33641	Coscinodiscus	33836	Coscinodiscophyceae
3437330	Sundstroemia	33836	Coscinodiscophyceae
35124	Melosira	33836	Coscinodiscophyceae
35127	Thalassiosira	33836	Coscinodiscophyceae
49230	Actinocyclus	33836	Coscinodiscophyceae
49237	Chaetoceros	33836	Coscinodiscophyceae
49242	Corethron	33836	Coscinodiscophyceae
186035	Fragilariopsis	33849	Bacillariophyceae
186042	Entomoneis	33849	Bacillariophyceae
1880599	Schizostauron	33849	Bacillariophyceae
197752	Pleurosigma	33849	Bacillariophyceae
197760	Gyrosigma	33849	Bacillariophyceae
2126264	Plagiotropis	33849	Bacillariophyceae
265580	Psammodictyon	33849	Bacillariophyceae
2852	Cylindrotheca	33849	Bacillariophyceae
2857	Nitzschia	33849	Bacillariophyceae
286098	Seminavis	33849	Bacillariophyceae
2862137	Amicula	33849	Bacillariophyceae
41953	Pseudo-nitzschia	33849	Bacillariophyceae
420972	Epithemia	33849	Bacillariophyceae
431323	Caloneis	33849	Bacillariophyceae
50949	Navicula	33849	Bacillariophyceae
67475	Haslea	33849	Bacillariophyceae
1706451	Neodelphineis	33853	Fragilariophyceae
210452	Grammatophora	33853	Fragilariophyceae
210597	Licmophora	33853	Fragilariophyceae
210617	Striatella	33853	Fragilariophyceae
33639	Asterionellopsis	33853	Fragilariophyceae
33644	Fragilaria	33853	Fragilariophyceae
33648	Thalassionema	33853	Fragilariophyceae
449168	Staurosirella	33853	Fragilariophyceae
1003030	Cerataulina	2836	Bacillariophyta
1234820	Plagiogrammopsis	2836	Bacillariophyta
1529381	Trieres	2836	Bacillariophyta
210588	Lampriscus	2836	Bacillariophyta
265542	Minutocellus	2836	Bacillariophyta
2838	Odontella	2836	Bacillariophyta
2974957	Ralfsiella	2836	Bacillariophyta
420263	Arcocellulus	2836	Bacillariophyta
420276	Biddulphia	2836	Bacillariophyta
426649	Hemiaulus	2836	Bacillariophyta
