2024-04-O-s0	2024-04-O-s1	2024-04-O-s4	2024-04-O-s8	2024-05-O-s1	2024-05-O-s4	2024-06-O-s1	2024-06-O-s4	2024-06-O-s8	2024-07-O-s1	2024-07-O-s4	2024-07-O-s8	2024-08-O-s1	2024-08-O-s4	2024-09-O-s1	2024-09-O-s4	2024-10-O-s1	2024-11-O-s0	2024-11-O-s1	2024-11-O-s4	2024-11-O-s8	2024-12-O-s1	2025-01-O-s1	2025-02-O-s1	2025-03-O-s1	2025-03-O-s4	2025-03-O-s8	2025-04-O-s4	2025-05-O-s1	2025-05-O-s4	2025-05-O-s8	2025-07-O-s4	2025-10-O-s4	2025-12-O-s4	2025-12-O-s8	2026-01-O-s4	2026-01-O-s8	2026-02-O-s4	2026-02-O-s8	2024-07-I-hm	2024-07-I-mm	2024-07-I-og	2024-09-I-hm	2024-09-I-mm	2024-09-I-og	2024-11-I-hm	2024-11-I-mm	2024-11-I-og	2024-12-I-hm	2024-12-I-mm	2024-12-I-og	2025-01-I-hm	2025-01-I-og	2025-03-I-hm	2025-03-I-mm	2025-04-I-hm	2025-04-I-mm	2025-04-I-og	2025-05-I-hm	2025-05-I-mm	2025-05-I-og	2025-06-I-hm	2025-07-I-hm	2025-10-I-hm	2025-10-I-mm	2025-10-I-og	2025-12-I-hm	2024-06-M-s0	2024-10-M-s4	2024-11-M-s1	2024-11-M-s4	2024-11-M-s8	2025-01-M-s0	2025-02-M-s1	2025-02-M-s8	2025-03-M-s4	2025-04-M-s8	2025-05-M-s4	2025-06-M-s4	2025-07-M-s4	2025-09-M-s0	2025-10-M-s1
Abollifer	0	0	0	0	0	0	0.0086150538064711	0	0	0	0	0	0	0	0	0	0	0	0.00973229437466047	0	0.0107591416992576	0	0	0	0.0508171142192518	0	0	0.00455311559358923	0.127713419859941	0.0188407424703939	0.29494571921975	0	0	0.0542724727825942	0.0239045337438845	0.141100395084288	1.233980109258	0.0214466385224682	1.19151826758258	0	0	0	0	0	0	0	0	0	0.0146386554992683	0	0.00582368435302257	0	0	0.00913677935474943	0.00956714273037747	0	0.00600093642572797	0	0	0	0	0	0	0	0	0	0.00586796081132144	0	0	0.0046457885480725	0	0.0068597822860538	0	0	0.0100085815491636	0	0.562762198709153	0.0045141616780162	0	0	0	0.00089949358387699
Acanthaster	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000576039273813361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0964211788429319
Acanthostaurus	0	0	0	0	0	0.0553842413831106	0.838756590764131	0	0.511722414119157	0.0694891890812903	0.055010846706853	0.118986827541235	0	0	0.0686823709999907	0.038812727939112	0.228255324054583	0	0	0.135023266008634	0.0435227416248038	0	0	0	0	0	0	0.00610219963851207	0	0	0	0.0221895686073245	0.142322045485656	0.0072907953005364	0.0126444013302269	0	0.00198271116443701	0	0	1.5957303552477	0.450594361999476	0.129560365459821	0.0307257016426765	0.0172792278645853	0.0136533175528736	0.106787503717249	0	0.0319403175958002	0.0054187955274385	0.0173941163799633	0.191690549302172	0	0.0104700611679763	0.0145434363097183	0.00249225527359905	0	0.00509390188633563	0	0	0	0	0.0418045753950525	0.181260473986617	0	0.00248412728910547	0.0369653479568003	0.0267025643648366	0	0.0239259290002571	0	0	0	0	0	0	0.0332741454250197	0.00663899034127413	0	0	0.797846680925367	0.00274067695618374	0.022186772640468
Acartia	0.0018156979754208	0.969647553967689	0.0393190457093355	0.0140319383292088	0.967949287023319	0.504244533349544	1.99173266470528	0.318538714828209	1.83592721955261	0.486037233455981	1.50299418662424	0.462766549335299	0.306582490566048	0.211931423324647	0.582353154197974	0.115430264814012	0.0491268554010228	0.0639204125243719	0.262014472133066	0.0236751524880894	0	0.241921466044099	0.50555955708422	1.87677872540669	0.644791998658139	0.0115953663015668	0.0590825338790421	0.270858823357983	1.07127890271223	1.21569757032271	0.385484225425358	0.491488732478874	0.00270606332318638	0.202645489111507	0.00498697300091305	0.149513130967784	0.0142874753473384	0.109781666117638	0.0832698829077834	0.0385196133804253	0.0155090153872243	0.0563712568230951	0.471156788305226	0.0921337565238337	0.118461503275973	0.485253168963864	0.298184916907012	0.108255009829098	0.160604204452884	0.0114587728602633	0.101224682631629	0.275634218668185	0.0920139631224006	0.474257929894566	0.625600023936393	0.217338794497	0.295267453887729	0.313504268408191	0.116880345226265	0.264487404999271	0.138068791748451	0.225364107692395	0.176670540642198	0.089693707184788	0.0254516458336916	0.0727961033311441	0.0178246918575248	0.0414570323975568	0	0.00192160189422451	0.00203467245506706	0.000345291433697589	0.00825374216303794	0.304718902767335	0.321112883745485	0.261590452925207	0.248924897499434	0.259370194831987	0.515041380009297	0.778825656259162	0.0132568688558514	0.0132543571381315
Acidovorax	0.0849982614451271	0	0	0	0	0.00939762738035823	0	0	0	0	0.00468370597557397	0	0	0	0	0.00120592757259698	0.0114960583173064	0.0233948886966437	0	0.00773949772825963	0.00395273308548247	0.00817860449582368	0.000871438600679372	0	0	0	0.00324005161193362	0.0016392829284412	0	0	0	0	0.00344219028523622	0.00335393461439515	0.00302308940370768	0.0103221209735896	0.00633165433351193	0	0	0	0	0	0.00365972814825872	0	0	0	0	0.0023520479870461	0.00599044394096208	0	0.0163690462511359	0.00196824769159563	0.0291230474454677	0	0	0	0	0	0	0	0	0	0	0.00402559692210635	0.0085029410412708	0.0256666788627181	0.0103387993384663	0.00201513496080138	0	0	0.0218839090590429	0.0190507234960593	0.0596229926428293	0.0104613752962545	0.0026243630764642	0	0.00231114555068007	0	0	0.071014961394827	0	0.0023855807112071
Acinetobacter	0.0268688365006921	0	0.00302170698344441	0.000864592865986371	0.011959608710815	0.0088260739865391	0.00605955280653159	0	0.00569661454445166	0.00313699183165828	0.00245355827940968	0.00769421914585915	0	0	0.0254589882115362	0.0269957963323871	0.0217715644390941	0.127086128891455	0.0602857831067307	0.0792094907194506	0.038907288178662	0.0393787223283914	0.0789327556099975	0.0524528895202501	0.00297562218381785	0.00652730595666132	0.00499738452075811	0.00121568609518016	0.00157448321522845	0.00237677865341207	0	0.00775301134496605	0.00883975304453635	0.00506814357474718	0.00250116260659619	0.0131565103967995	0.00446527669954152	0.00165698876021333	0.00231870705540134	0.00178931226632612	0.00504635861408724	0.00616340507217666	0.0220186940488783	0.0360748217726784	0.039347804495455	0.0414058328604486	0.0474364538491702	0.133553302418102	0.0898045422508939	0.0791340528403789	0.121747885688435	0.0821361521554708	0.116389127793195	0.00163933018278833	0.00229441877500916	0.00488954122222265	0.00134873738633561	0	0.0100302855510648	0	0	0.0112820774627237	0.00541166816967169	0.0467051809062359	0.0524844288078336	0.0530518275502251	0.0420454671012162	0.00285293958852472	0.000617992579190165	0.01636315976903	0.0160668739299933	0.0266340692557986	0.0875324868968005	0.0151799893711255	0.00561593321992385	0.00636900588649522	0.00179999235933465	0	0.00573985255478263	0.00968441036811213	0.0217759849170048	0.00271865898588477
Acoelopelophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00913363562133995	0	0.0957215984907908	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0284999624417644	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actaeavirus	0	0.00510944075140752	0	0	0.166025993132612	0.051009236928325	0.0168755794679763	0	0	0	0	0.0278703343166187	0	0	0.00190898456962842	0.00176668121043763	0.0123094738158404	0.00577758932434637	0.0014216439949587	0	0.00852785881363893	0.0157686485643026	0.000910813919285215	0	0	0	0	0	0	0	0	0	0.000384663901864438	0	0	0	0	0	0	0	0	0	0	0.00136780591908787	0.000949882185238832	0.00201248367650923	0	0.00518592137836956	0	0	0.00158410399056281	0.000719121039406788	0.0027644965888225	0.000410767664572487	0	0	0	0	0	0	0	0	0	0.00346539500307	0.00393534810706869	0.00354260708926504	0.00125001010831899	0	0	0.000267129741490007	0	0	0	0	0	0	0	0	0	0	0.126816252220237	0.0162932461372704
Actibacterium	0.00373709347049147	0	0	0	0	0	0.00570969930383873	0	0	0	0	0.0037197478314756	0	0	0.0223216422202887	0	0	0	0	0	0.0041925465948051	0.00610057439109093	0.00203763095082541	0	0.00410947091210367	0.009345095595335	0	0.00105606754324299	0	0.00076899727929409	0	0.00324453225297018	0	0	0	0	0	0	0.00090377348294549	0.0513191611306271	0.0521201029769329	0.00443469710019537	0.0361663511710097	0.0208531682262727	0.0515060532709828	0	0.0125038845777962	0	0	0	0.0139310862016482	0.00528775259304517	0	0.00467415830160343	0	0	0	0	0	0	0	0.0319189705808944	0.0673927649047063	0	0.00833224638183512	0.000340275529201103	0	0.0204113635410382	0	0.0077018319402712	0	0	0	0	0.00187770690528247	0	0	0	0.108059643049835	0.0646199106473132	0.0577257352275504	0.00702911550065833
Actinocyclus	0.000114596929853324	0.111579944172115	0.0923184330234807	0.113267699816453	0.0560612745892461	0.114477813201147	0.0324603689521779	0.0078557696707952	0.00958818399751615	0.000569553504447029	0	0.0022574205987739	0	0	0.0113375567919154	0	0.0530660923458224	0.00105984865609417	0.00432494579302126	0.0138213091796784	0.0147379003772722	0.000232025936419828	0.0149272990932361	0.0212037226222475	0.0483539248278644	0.0128364292671325	0.216222309241801	0.0346818396556899	0.00298926786359301	0.00304241714762597	0.000399926952895612	0.00971892071583001	0.002949746939323	0.0071892320244979	0.00890992430512071	0.0235716524716448	0.0120906357079064	0.00455868833591371	0.0128476294451488	0	0	0.00573607354109032	0.0383122359517848	0.025732809270636	0.0569006180833875	0.0269342283340502	0.0341179417227173	0.031905792669881	0.0221877363875187	0.0109933526308159	0.0225256506175023	0.00339650016029707	0.00792445646357538	0.0222221440819078	0.0440884560031462	0.0633116629826963	0.0126867784380691	0.0105412523123167	0.00955179675167395	0.00533615511185488	0.00909558074579704	0.00913061115283526	0	0.0126033439780143	0.00376654068569311	0.00553710906000651	0.00518461732630015	0.0018647986675183	0	0.00205186311916126	0.00251708781781937	0.00684678349993626	0.00583532305338325	0.000604814707885745	0.0055801259367498	0	0.00487784043042705	0.0044840373430874	0.00125021768699041	0	0.0553982843608891	0.0103256988594525
