	2024-04-O-s0	2024-04-O-s1	2024-04-O-s4	2024-04-O-s8	2024-05-O-s1	2024-05-O-s4	2024-06-O-s1	2024-06-O-s4	2024-06-O-s8	2024-07-O-s1	2024-07-O-s4	2024-07-O-s8	2024-08-O-s1	2024-08-O-s4	2024-09-O-s1	2024-09-O-s4	2024-10-O-s1	2024-11-O-s0	2024-11-O-s1	2024-11-O-s4	2024-11-O-s8	2024-12-O-s1	2025-01-O-s1	2025-02-O-s1	2025-03-O-s1	2025-03-O-s4	2025-03-O-s8	2025-04-O-s4	2025-05-O-s1	2025-05-O-s4	2025-05-O-s8	2025-07-O-s4	2025-10-O-s4	2025-12-O-s4	2025-12-O-s8	2026-01-O-s4	2026-01-O-s8	2026-02-O-s4	2026-02-O-s8	2024-07-I-hm	2024-07-I-mm	2024-07-I-og	2024-09-I-hm	2024-09-I-mm	2024-09-I-og	2024-11-I-hm	2024-11-I-mm	2024-11-I-og	2024-12-I-hm	2024-12-I-mm	2024-12-I-og	2025-01-I-hm	2025-01-I-og	2025-03-I-hm	2025-03-I-mm	2025-04-I-hm	2025-04-I-mm	2025-04-I-og	2025-05-I-hm	2025-05-I-mm	2025-05-I-og	2025-06-I-hm	2025-07-I-hm	2025-10-I-hm	2025-10-I-mm	2025-10-I-og	2025-12-I-hm	2024-06-M-s0	2024-10-M-s4	2024-11-M-s1	2024-11-M-s4	2024-11-M-s8	2025-01-M-s0	2025-02-M-s1	2025-02-M-s8	2025-03-M-s4	2025-04-M-s8	2025-05-M-s4	2025-06-M-s4	2025-07-M-s4	2025-09-M-s0	2025-10-M-s1
Actinopterygii	Metazoa:Bony fishes	0.0073646439800653	0.000667883943084326	0.0222356093221964	0.00114527363364053	0.0313460741304819	0.017007508300314	0.0113668421103803	0.0143863849473265	0.0103302746719323	0.0308037848467133	0.0503233072579802	0.0271796397887696	0.00902867751846013	0.000772411002050759	0.0125672625216265	0.00963531837037882	0.0236555961785151	0.147021312229546	0.00664095945701355	0.000361030849532878	0.000587860744533283	0.013792314746269	0.0356667123599493	0.0477960874199372	0.00689172932903245	0.0339323393372326	0.00722410438705889	0.00460207757518775	0.00365721375249518	0.0022561594939064	0.0012333187888905	0.00544903928144602	0.000157729974315844	0.00359859694343951	0.00132520659735547	0.0164215148926286	0.00763676880450784	0.000717734131451421	0.00308133988201519	0.00774825383392922	0.00154536475093571	0.00227439906663108	0.0100462635367178	0.0579802763463318	0.0335417542408985	0.00435816687076113	0.00614804249156658	0.0123973050773286	0.0562591179582181	0.0534078679690682	0.0138343845632494	0.022617825277195	0.0105694440775827	0.0134417642615244	0.00359786912672596	0.00104566040212319	0.00515028706000125	0.0015331036039256	0.0230411051656435	0.00875568175373832	0.00363132658033122	0.0503149294590727	0.00355798628226588	0.0221147876149076	0.0277049002091996	0.0235212850085345	0.0373127549604988	0.00534055596151388	0	0.0198918812585875	0.0514523252356302	0.0357055801485001	0.0250721087887093	0.00459344720097902	0.000464347374144812	0.00618381606998211	0.00239691515915728	0.00269650931719003	0.0148749523400415	0.236139229473597	0.00267892308928346	0.109956034559023
Alphaproteobacteria	Bacteria:alpha-proteobacteria	1.90230357665455	0.541784081868891	0.363204338944611	0.757347729034491	2.3187646837915	0.573821081391833	0.952445270332264	0.508094451005008	0.475705228449375	0.173784017438238	0.60037882082896	0.373524509693993	0.211490007109993	0.178331126895749	0.610431612258296	0.347012829535048	0.571171363204459	2.32998447868738	2.1987087554162	1.61835110270478	3.9498507778077	1.25325025012277	1.99458112446278	3.52148609853558	1.35444698286101	1.14864038300501	0.83684111262571	0.877113825290622	0.75744638915154	0.873411425147249	0.836088748892975	0.734497991117431	0.348018977182806	0.28019526873112	0.193986093955294	1.03355304980811	0.619193902840528	0.444778957545731	0.504164530852891	1.51015018542565	1.84926133718313	1.23922168904776	0.961824149870884	0.930825442032437	0.880715697316073	0.641987336616961	1.35997581817357	1.32020981853833	1.00638924020056	1.09905223721139	0.861015650934749	1.23634248778413	1.35629609270467	2.50884880423635	2.64108112664844	1.35423337814733	1.49205905805403	0.815354755672484	1.38902525508063	0.702584385307041	0.310964919911912	2.7842899052594	1.49332245317622	0.547205082490371	0.520809101325515	0.637563288174302	1.4509735956228	2.29143607039744	0.888098257509117	0.257277077305676	0.281132787842594	0.347511981751399	0.908532885191554	0.463702309388306	0.733072748656772	0.39452295721385	1.00491725602165	0.906754546633819	4.26777023029343	1.11245612434837	4.21850607048183	1.03306241882465
Annelida	Metazoa:Annelid worms	0	0	0	0.923982344933013	2.56868975449734	0.275513657408856	2.18895320463063	0	0	0	0.15325553483186	0.0341934683652147	0.0220661967856656	0.0755839769893058	0.0425373712431159	0.0178268175479345	0.190901255624543	0.232443880271564	2.08790273424065	0.00638575036108749	8.30990201785538	1.32900958406929	0.974578809292012	0.504850359417282	0.650636631651454	0.10262986243126	0.0891058216535923	0.0625036080879562	0.3879740520661	0.104472084067798	0	0.00837865751793696	0.213021264800692	0.426804312515064	0.411022618684308	0.592135877485836	0.0130163857752767	0.12457034044615	0	0.110611362445666	0.319312006708517	0.166455553397288	0.485338424172438	0.252204464705598	0.731837896926392	0.634167064576276	0.309899419538556	0.63485727638928	0.981041617946439	0.216651974955586	0.476004837499941	0.120046004843207	0.235269713798459	0.00555240191112111	0.00240729948051374	1.35467896388694	0.903498282406851	0.104995402485415	0.0643998490828151	0.615888901199919	0.0048025290367814	0.910087945284647	2.3411562921756	0.828697590866941	0.722238792936988	0.620895697759203	0.0324289898807733	0.0514392312265054	0.112463399802526	0.0158902225662272	0.0417769395653847	0.0437631148779375	0.101857111344089	0	0	0.512931357152586	0	0.311802003017871	0.526988403846565	1.40844029519529	0.668161305623221	1.75028498785555
Archaea	Archaea	0.487468914494489	0.00114890624881232	0.000780533358333991	0.000699128092929654	0.0712711281549171	0.0301160167732496	0.00274156869561679	0.000949350094667148	0.00214124580080307	0.000433085720296525	0.00305946700996291	0.00626118835833846	0.00124796714333658	0.00116514594232362	0.0146969473728148	0.0113938036151482	0.480249819969718	0.292213208693649	0.0364559225421936	0.104590895059635	0.168383629181243	0.0112734676779972	0.0772611556102529	0.0130804749014363	0.00418611685832538	0.0295546079928471	0.0472676480358609	0.0146298191399556	0.000581624787949519	0.00061892660286577	0.000933102056714729	0.000984904132158251	0.0213744950088966	0.0744167942328097	0.0190103282043364	0.0295885529529401	0.0321816279522085	0.000499235839432676	0.00541871153602409	0.00662197859835845	0.00656573144676842	0.0107855097521433	0.175846637212418	0.191730592600289	0.0837443089337121	0.0153993091814356	0.0175315943742631	0.0204894605808449	0.165092542733023	0.259319606335358	0.0648579405614234	0.202506597071046	0.38617031477241	0.014788749773723	0.00367294567168509	0.0118267649577811	0.0211328408855178	0.0125852451984989	0.0287574965980953	0.00360247796741315	0.000469583329819409	0.02770123223011	0.00273961058549701	0.414793005474166	0.719289424766908	1.3584862079592	0.208441844500833	0.00945229977311455	0.00339361660901734	0.0567720411493526	0.745092986334139	0.389832815945649	0.706778154520369	0.0422192858789564	0.00623204703866418	0.00192141611077139	0.000878099293735646	0.000999156335083829	0.00325079697580626	0.00556308059365594	0.00703579573711171	0.0151105807776653
Arthropoda	Metazoa:other Arthropods	0.0133745534292774	0.0735981633899532	0.241319822292165	0.0486637021036067	0.393163669590741	0.164703705628842	0.0275916218082433	0	0.0528245188123661	0.0390496890293687	0.121505135661388	0.165326543478588	0.0089231569282743	0.0534939210836983	0.0150868124049839	0.0114244329464304	0.000447129452082833	0.0112943281616376	0.0776255930418526	0.0667975051035941	0.0216716892123773	0.0411682428422439	0.0610791661451538	0.312414269841655	0.0169720023624612	0.00724475575500899	0.0780746123814553	0.179465161043002	0.0221411586458402	0.0809010767313022	0.0552068321027963	0.317497608097928	0.0442934807888093	0.155872907939487	0.179207309216272	0.0638426828606504	0.0552262820478336	0.0176916309018665	0.0282075830048677	0	6.42654082673523e-05	0.00188626508670248	0.000247445370888618	0.00386300073850051	0.00693134165979089	0.0332247385177716	0.0257650675001268	0.0428812094861285	0.0399055052494804	0.0114245130572136	0.0892649301555849	0.0968274350027187	0.10798004177406	0.0140629354947229	0.0352360582634743	0.0159039409940096	0.00802977166636034	0.00871476817664623	0.0639514639854033	0.105088135265449	0.0635623619766803	0.080213917715157	0.0433234370100114	0.0321338282221132	0.0164725566375582	0.0191110315238818	0.0561105693221349	0.00191278235386484	0	0.0398113281478726	0.0385821752302845	0.020585521516882	0.00805170017208557	0.0709506813128194	0.0306357926553178	0.0228769579778899	0.0777646787519942	0.121839037238338	0.115846592021166	0.15016220966487	0.00051663138986592	0.0134827530704599
Bacillariophyceae	Eukaryota:Pennate diatoms, Raphid	0.00332973560092062	0.124946194113845	0.124472527025747	0.286577741229797	0.561415521857788	0.819099311729669	0.241412191700981	0.365246689336751	0.0713035340279217	0.0237664997392427	0.19788392209699	0.0648479990582036	0.00373562000793209	0.0957547903303002	0.274015138898248	0.120724791565903	0.485112957635857	0.101245419094053	0.876567972269391	0.151563144862397	0.437482659463129	0.0449234559860634	0.143747288524103	0.421428861553769	1.73344196617522	0.569052875539118	3.07596455857593	0.919494152770749	0.411008902121821	0.2006900571574	0.235072615498933	1.02131877299908	0.302835502670554	1.926770545756	1.06719534237592	5.42855921511606	7.23411741548324	0.108747222093477	1.53041209708018	0.126752515566318	0.056917634647957	0.0973151098225858	1.24114357628593	0.368204047071512	0.396901709224517	0.819298171578621	0.792641404065953	1.24495099829618	0.696849735266294	0.300139261582294	1.00999835089174	0.383061374638658	0.429854607747861	0.913786533488036	1.09735532264616	2.14381277212704	1.09740339689013	0.850915787717689	2.02833265284862	1.46962418241745	0.0677072897237108	0.66594744419621	0.614479833948703	0.814996831842177	0.69553500969949	1.1437280293608	0.28831627544568	0.942918199644287	0.0481844834003982	0.253201027937934	0.280050780628611	0.33852876992056	0.387281733372574	0.421750440751115	0.361567215055057	0.188404090873352	0.374626999339884	0.105711778026674	0.880447452237526	3.91994243102005	1.26844410484834	1.31991689005415
Bacillariophyta	Eukaryota:other Diatoms	0.0239409039283872	0.0631884771705837	0.149737885689565	0.365108274408768	0.77856058275962	0.42270036602714	0.0738248729609922	0.0286405170335126	0.0266137035148844	0.0090337760455072	0.571204077676965	0.235160986609711	0.00856655165761892	0.0948909015865081	0.161169373126672	0.0272136133668635	0.759625576269199	0.306517114887871	0.60891351961683	0.404458544080752	0.867075942498443	0.393679332764937	0.659543080749861	0.34972598989769	1.08654197994094	1.71904099110388	1.90810569603857	0.32767965010646	0.0982583825451372	0.182915451983482	0.221846184074303	0.537900648880176	0.358857869478464	2.12439092155029	1.42585203597496	1.24129307449091	1.39555269707634	0.0149516708260391	0.129937852575045	0.0304912155432547	0.0122368872554113	0.0156128194051355	1.54883214373575	0.297563506668752	0.206712519081028	1.00905143020628	1.09939313925993	2.21770688919801	0.617119248538977	0.35834202313889	1.29344406886929	2.16636302377679	1.81082353169751	8.16449691303649	2.57497662757179	0.373546774929711	0.170895020583378	0.123510801212191	0.0739492658595602	0.0194561595167971	0.0044952972827965	0.123216327762644	0.48742230320311	7.04213219918889	4.76508328060779	2.83121596841529	1.44153316680585	0.135183346688358	0.043728521640664	0.107853585793901	0.190627386825446	0.116834811007914	0.372501386893766	2.91680110396576	0.770298268023678	0.152078823580829	2.41320749086732	0.273409163697575	0.316377227963408	0.95427756186249	1.67612179890711	0.999926310182929
Bacteria	Bacteria:other Bacteria	3.56240408419089	0.091328879268975	0.0375164705347589	0.0994286605378118	1.17810402134231	0.584590701248419	1.78201930924326	0.162374635460434	0.13587571117734	0.136857770285665	0.402966743056861	0.240841701730111	0.0895707865642393	0.0668030432655781	0.349852485745713	0.732921516002785	0.490531972373837	1.4700895866987	0.849264299380771	0.663135745282402	1.59075181032082	0.153203565460261	0.510909766474764	1.08505803287638	0.389496091768744	0.532448272641453	0.271220010621861	0.771908776541998	0.368488226874623	0.512066498987876	0.507339601235796	0.152695555464065	0.44268355598614	0.560912740952141	0.192029066813984	0.619928783804064	0.35746401297498	0.0858801062248306	0.138067739511609	1.41392546777909	1.09361989394851	1.39644009228439	1.16220095213496	1.15093696623084	0.99891700822918	0.773919020824415	0.598431695616044	0.988852540228881	0.749677511503463	0.941491527986293	0.932016342565191	0.41461833711356	0.541217124943936	1.41483016236848	1.27129499828127	1.05150778657026	1.67992544720171	1.85667191240442	1.07360041612283	0.507351007596739	0.330961599323464	1.55341482278678	2.6942311894138	1.14290615640194	0.968724081953595	1.09854501286601	0.696728449931345	0.665104061530632	0.241799424060489	0.662035625754844	1.20630129004667	0.890009273928332	1.73610802821282	0.255953129296257	0.258248636585497	0.195899473397299	0.198650698867632	0.314637043492801	0.407943901213189	0.574724400650128	0.829862714648964	0.62176860318214
Bacteroidota	Bacteria:CFB group	1.7694389092387	0.651719575158023	0.352748551360008	0.551266113868641	1.68388735468055	1.06600480877294	0.905414801455602	0.365613178534703	0.761532152904387	0.552130811730127	0.495010499209543	0.230068898922455	0.0159112384132686	0.00922007961956403	0.476399072066756	0.351729834847843	0.133015562634789	2.05093608441116	0.619391517965825	0.195479164375195	0.234177108791347	0.419507519480046	2.96549521029329	6.53523629846509	1.7233280017247	2.26840059618691	1.08051189024497	1.62946658838321	0.49199428000399	0.765403369507758	0.484136586496334	0.393221940080482	0.273065776683745	0.216129929321748	0.101010268607079	0.896451192870696	0.716188819550342	0.672919502314024	0.396195488007783	0.973242402570763	1.25867487088205	0.990534660635622	0.443802437868645	0.369438247969057	0.297657823722857	0.91289344455551	1.3750416798039	1.73551162164665	0.752590395555528	0.595653571846899	1.49895470978134	0.95661089037844	1.38585582899813	3.45050792663324	3.06313283449593	1.85321605103104	2.04545285655047	2.23611840774526	2.66052162086581	1.15143626488258	0.450299884172681	2.83735048320466	1.63933971283692	0.512996922057345	0.440904917684761	0.638298004397422	0.45177885913708	4.99346015561892	0.00404437940370588	0.259810689520683	0.351283991668722	0.329574148926289	1.92079208666387	0.439242853935633	0.268391185778547	0.358070071990136	1.77732219305286	1.40996260012257	0.984178733401996	0.229812007004534	2.90200132547717	0.277288012234925
Bivalvia	Metazoa:Bivalves	0.0341803740764682	0.231383412915126	0.340371105803086	0.0717548785059847	0.886923986516519	1.72709570209554	1.6369039063394	0.0138431489372736	0.0306065719113178	0.062356450867674	0.0651382406203102	0.0282140049405547	0.123756134010445	0.3453917114239	0.653057486925835	0.264041312033229	0.432208199298507	0.225270945834277	2.21546402848223	0.309964659657585	0.330225773377891	0.272479653214616	0.427140449215563	0.43708293924786	0.40484974856876	0.115965626502458	0.430720423249292	0.478535697640897	0.445591381912981	0.870118037406104	0.536920548101854	0.0993241950225909	0.697417832200362	0.65523507154007	0.302756052667025	0.416394589345842	0.134446253676003	0.472616258876129	0.167015182025676	0.0720463928098778	0.379290251141144	0.444247989239876	0.0533177204659127	0.118457408631599	0.100585522128989	1.12566235783983	0.767921381299745	1.02374947922755	0.322062695564373	0.0674396431800193	0.536235657698163	0.150931817340892	0.154902105228007	0.117968359983707	0.327257245730592	0.170223619802629	3.66947239695594	1.54446876156515	0.127967162606301	0.37509288144779	0.226230898900549	0.115251746335427	0.335894748024615	0.416983284555395	0.339141869928861	0.238940797284708	0.279982169461352	0.0435412735059541	0.0747918845204079	0.0756556804769217	0.0477812525255899	0.0731893280340514	0.0289904663571294	0.43379452832513	0.340695438815076	1.01472318032012	0.620766564396805	0.318159126787818	0.3481556980062	1.21742380168855	0.500381211914348	1.80713588537203
