2024-04-O-s0	2024-04-O-s1	2024-04-O-s4	2024-04-O-s8	2024-05-O-s1	2024-05-O-s4	2024-06-O-s1	2024-06-O-s4	2024-06-O-s8	2024-07-O-s1	2024-07-O-s4	2024-07-O-s8	2024-08-O-s1	2024-08-O-s4	2024-09-O-s1	2024-09-O-s4	2024-10-O-s1	2024-11-O-s0	2024-11-O-s1	2024-11-O-s4	2024-11-O-s8	2024-12-O-s1	2025-01-O-s1	2025-02-O-s1	2025-03-O-s1	2025-03-O-s4	2025-03-O-s8	2025-04-O-s4	2025-05-O-s1	2025-05-O-s4	2025-05-O-s8	2025-07-O-s4	2025-10-O-s4	2025-12-O-s4	2025-12-O-s8	2026-01-O-s4	2026-01-O-s8	2026-02-O-s4	2026-02-O-s8	2024-07-I-hm	2024-07-I-mm	2024-07-I-og	2024-09-I-hm	2024-09-I-mm	2024-09-I-og	2024-11-I-hm	2024-11-I-mm	2024-11-I-og	2024-12-I-hm	2024-12-I-mm	2024-12-I-og	2025-01-I-hm	2025-01-I-og	2025-03-I-hm	2025-03-I-mm	2025-04-I-hm	2025-04-I-mm	2025-04-I-og	2025-05-I-hm	2025-05-I-mm	2025-05-I-og	2025-06-I-hm	2025-07-I-hm	2025-10-I-hm	2025-10-I-mm	2025-10-I-og	2025-12-I-hm	2024-06-M-s0	2024-10-M-s4	2024-11-M-s1	2024-11-M-s4	2024-11-M-s8	2025-01-M-s0	2025-02-M-s1	2025-02-M-s8	2025-03-M-s4	2025-04-M-s8	2025-05-M-s4	2025-06-M-s4	2025-07-M-s4	2025-09-M-s0	2025-10-M-s1
Abyssibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0425340983200274	0.0120912156919961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0653492296423225	0.040785889103585	0.0350784887700581	0.0128919467900554	0	0.0118490409053592	0.0353843013293881	0	0.0551136287005105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0126886324749861	0	0	0	0	0
Acanthaster	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103019443103251
Acartia	0	0.0124449548560849	0.0105677832725613	0	0.0887806451357973	0.0339627420296813	0.148372586447896	0.0542864201359363	0.168677281675671	0.02527446523879	0.238323677033476	0.019039485994279	0.022406251997185	0.014048807187047	0.044555690308083	0.00740488416552242	0	0.00117476680766948	0.0207066874089806	0	0	0.000769489430547154	0.0219740978102812	0.0938231331879632	0.0414929953492649	0	0	0.0142978222977594	0.0586349452875877	0.0856337015701515	0.0279085552824119	0.0405856966611116	0	0.0050164671678985	0.000107833984625995	0.0104852900127794	0	0.00413322050571046	0.00441720715414742	0.00132669368679882	0	0.00661783097144458	0	0.000860297306443091	0	0.0136843155017377	0.00556212996816318	0.00427034675793835	0.00977843742725773	0	0.00671300795107604	0.0309380014268307	0.00344972961839863	0.0147668462281831	0.0185232357672756	0.0100717056849403	0.00423377836244419	0.00252062070320126	0.00267436838375174	0.0257560061598633	0.00331142646420234	0.00864326147019225	0.0101336315128955	0	0	0.000936378139898727	0.000161999910465453	0.00198869060720279	0	0	0	0	0	0.00808267786248576	0.00916448780282122	0	0.00338210501993009	0.0198915685132245	0.0383980979458401	0.0512204929923566	0	0
Achromobacter	0.00111988710907995	0	0	0	0.0667375843646466	0.116559856922175	0.0100171930674085	0	0	0	0	0	0	0	0.00227782932663304	0.040493298299962	0.040139261043797	0.003237235185196	0.04440422248642	0.00498684832276167	0.0996676325460733	0.0173633191352686	0.047887359888644	0	0	0	0.00785099334853563	0.0458701073310936	0.00609481229440383	0.0163280683094903	0.0153864130390978	0	0.150064872911171	0.0618204339010913	0.0170497278469455	0.00354121151426592	0.00393405424408632	0	0	0	0	0	0.0530258513638754	0	0.0093784165398008	0.0285533664443318	0.006639053354145	0.0166632691310096	0.0107729369053167	0.00592137860369055	0.036076531387492	0	0.00630560693137968	0.0009942150486191	0.0029507938515796	0	0	0	0.0018439181558259	0.0199170142825241	0	0.0252892067555141	0.00398602104557857	0	0.0127331650759796	0.0207190060261593	0.0193115883031271	0	0	0.137148313992253	0.0609114037397829	0.0573991756621799	0	0	0	0	0.00885197299500023	0.00239250229106873	0.0060862138890201	0	0	0.0471925359019886
Acidiluteibacter	0	0.004140557633633	0	0.00347519168262583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00969640578816807	0	0	0	0	0	0.00533972623150458	0	0	0	0	0.00020767911918503	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00163054270350283	0	0	0	0	0	0	0	0	0.160285200057207	0.0466980625983294	0	0.00475073355926194	0	0	0	0	0	0.0172663029244846	0	0	0	0	0	0	0	0	0.00167581229039209	0	0	0	0.00694765459561846	0
Acinetobacter	0.0132182323710933	0	0	0	0.00304203422120747	0	0.00132586832004754	0	0	0	0.00245546390804564	0.0046864946674034	0	0	0.0325060291972012	0.0321210687553524	0.0332882000374259	0.0745170379831635	0.00653289028269655	0.00377497209921983	0.00648064211795926	0.00226927507206275	0.00493426786686177	0.000675883148598214	0.0111443604628846	0.00939114824451082	0.00677311242038409	0.011702182439353	0.00309985389089963	0.00215110717525092	0.00111709155172465	0.000266587050122134	0.00560935603541361	0.00656214108772748	0.00129244919161597	0.00295042239808411	0.00301187249250035	0.000885496402086623	0.00181240888490769	0	0.000351712177350886	0.00136996741615274	0.0318350693745871	0.0411594263831044	0.0623565895218923	0.0100993826023097	0.00293466116271344	0.022278797756724	0.0406395182190427	0.052958482395154	0.0170524434459605	0.0106309801664698	0.0214049928617283	0.0164350843864441	0.00441419738224212	0.0253856573662519	0.00848856783790973	0.000545667090097542	0.0330484108294473	0	0	0.0158099584513893	0.00162517963239967	0.0185793066865911	0.02720282172584	0.0314550288368475	0.0177130860263295	0.000115878511587514	0	0.011932487678476	0.0553707561447734	0.0336858726128125	0.0171503764940759	0.00358433640390341	9.65895833544e-05	0.005804606039131	0.00154345130486359	0.00257380052111729	0.00975322004433755	0.000930916707278287	0.00462259938737369	0.0125548707927027
Actibacterium	0.00082836640381265	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00182106888737418	0	0.00387177719969463	0.0301668080895522	0.0283523878146199	0	0	0.0263688776441916	0.000351190114248304	0	0	0	0	0	5.59228825747812e-05	0	0.00526560807696054	0.000955944294934579	0.00368782195853593	0.00120989248629818	0	0	0	0	0	0	0	0	0.00369812910152537	0.00525543022037107	0.00161078662108498	0	0.000733617367336242	0	0	0.000568857421730992	0.000101961838054845	0	0.0032022922378222	0.000644271857326229	0	0	0	0	0	0	0	0	0	0	0.000883961477461696	0.00162245708806781	6.21935898463079e-05	0.00801830736432201	0	0	0	0	0	0	0	0	0.00060006772304985	0	0	0.000156752219463934	0.0451924765357769	0.0114092273458695
Actimicrobium	0	0	0	0	0.0133713328408594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00177968237312148	0	0	0	0.0012817949473557	0	0	0	0	0	0.0113045121348704	0	0.00464972722542624	0	0	0	0	0	0	0	0	0.0793607586467252	0.0473321895917217	0	0.0072133384086133	0	0	0	0	0	0	0	0	0	0.00921755557101655	0	0	0	0	0	0	0	0	0	0	0	0.0846880747383397	0.00239592858655009	0.00107212429474769	0.00916108603738294
Actinocyclus	0	0.0952616674417039	0.0975880751199107	0.0976507648268747	0.0411605582756866	0.0935400759090255	0.0320528410130864	0.00881870370450543	0.0112879044924478	0	0	0.00245775849265779	0	0	0.00634603180388305	0	0.0498294651049847	0.00110462743485546	0.00310174141325327	0.0175207807100702	0.00520826435009709	0	0.0139295400154605	0.0160539635742197	0.0237658223586081	0.00776418431733896	0.225752684919964	0.0327622036141607	0.000548975360793541	0.000192215195338411	0	0.0141541358492262	0.0022788402250595	0.00609817299064825	0.00690183531810961	0.0236883826960384	0.0113816041986498	0.0033922997073617	0.0114481645782731	0	0	0.00983326892758341	0.0335533620984497	0.0281736455496078	0.0508390516178038	0.013084584832651	0.0200790861892605	0.017793407581878	0.00947777053657263	0.0143333677770021	0.0107597980297808	0.00270512417947236	0.00788965269638148	0.0164026554021447	0.0409298813671026	0.0544318153949789	0.00901777045067379	0.0128874760748506	0.00794389343555378	0.00347316160419757	0.0155924241356521	0.00590572546819686	0	0.01222338437004	0.00309850430270563	0.00495600709798667	0.00658346976371134	0.00170772511701734	0	0.00266495979711784	0.00233363029107368	0.00639006986554985	0.00180900376443256	0	0.00455556664190222	0	0.00378288670625856	0.00441918380175321	0.00214323032055499	0	0.0351485376250911	0.0161300745721562
Actinomortierella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0251920385518924	0	0	0	0	0	0	0	0	0	0	0.0327377470002207	0	0	0	0	0	0	0.0099990545506443	0	0.00240289372119673	0.0113274906718095	0.00645242205756555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160076757593926	0.016413812747906	0.0143854502966246	0.0209528564540968	0	0.0348941278192781	0	0.020492866808258	0	0	0	0	0.0104541374033804	0	0	0	0.0159660873926283	0	0	0	0	0	0.0151025815431129	0.03250599104334	0.0405941405087493	0.0187427855595799	0	0.0185654139463145
