r0001	2024-06-M-s0.1	2024-06-18
r0002	2024-06-M-s0.2	2024-06-18
r0003	2024-07-O-s1.1	2024-07-03
r0004	2024-07-O-s1.2	2024-07-03
r0005	2024-07-I-hm.1	2024-07-09
r0006	2024-07-I-mm.1	2024-07-09
r0007	2024-07-I-og.1	2024-07-09
r0008.0401-1	2024-04-O-s0.1	2024-04-01
r0009.0401-2	2024-04-O-s0.2	2024-04-01
r0010.202405_st1	2024-05-O-s1.1	2024-05-22
r0011.202405_st4	2024-05-O-s4.1	2024-05-22
r0012.g0008-202404-s1	2024-04-O-s1.1	2024-04-22
r0013.g0009-202406-s4	2024-06-O-s4.1	2024-06-07
r0014	2024-06-O-s8.1	2024-06-07
r0015	2024-07-O-s4.1	2024-07-03
r0016	2024-04-O-s4.1	2024-04-22
r0017	2024-04-O-s8.1	2024-04-22
r0018	2024-08-O-s1.1	2024-08-02
r0019	2024-08-O-s4.1	2024-08-02
r0020	2024-07-O-s1.3	2024-07-03
r0021	2024-07-O-s1.4	2024-07-03
r0022	2024-10-M-s4.1	2024-10-18
r0023	2024-11-O-s1.1	2024-11-11
r0024	2024-11-O-s4.1	2024-11-11
r0025	2024-11-O-s8.1	2024-11-11
r0026	2024-11-I-hm.1	2024-11-13
r0027	2024-11-I-mm.1	2024-11-13
r0028	2024-11-I-og.1	2024-11-13
r0029	2024-09-I-hm.1	2024-09-07
r0030	2024-09-I-og.1	2024-09-07
r0032	2024-09-I-mm.1	2024-09-07
r0032-2	2024-09-I-mm.2	2024-09-07
r0033	2024-11-M-s1.1	2024-11-21
r0034	2024-11-M-s4.1	2024-11-21
r0035	2024-11-M-s8.1	2024-11-21
r0044	2024-12-O-s1.1	2024-12-05
r0045	2024-11-O-s0.1	2024-11-26
r0046	2024-12-I-mm.1	2024-12-19
r0047	2025-01-M-s0.1	2025-01-22
r0048	2025-02-M-s1.1	2025-02-21
r0049	2025-02-M-s8.1	2025-02-21
r0050	2025-03-O-s1.1	2025-03-10
r0051	2025-03-O-s4.1	2025-03-10
r0052	2025-03-O-s8.1	2025-03-10
r0053	2025-01-I-hm.1	2025-01-23
r0053-2	2025-01-I-hm.2	2025-01-23
r0054	2025-01-I-og.1	2025-01-23
r0054-2	2025-01-I-og.2	2025-01-23
r0055	2025-02-O-s1.1	2025-02-07
r0055-2	2025-02-O-s1.2	2025-02-07
r0056	2024-10-O-s1.1	2024-10-09
r0057	2025-03-M-s4.1	2025-03-12
r0058	2025-04-I-hm.1	2025-04-22
r0059	2025-04-I-hm.2	2025-04-22
r0059-2	2025-04-I-hm.3	2025-04-22
r0060	2025-04-I-mm.1	2025-04-22
r0060-2	2025-04-I-mm.2	2025-04-22
r0061	2025-04-I-mm.3	2025-04-22
r0061-2	2025-04-I-mm.4	2025-04-22
r0062	2025-04-I-og.1	2025-04-22
r0063	2024-09-O-s4.1	2024-09-11
r0064	2024-09-O-s1.1	2024-09-11
r0065	2025-01-O-s1.1	2025-01-07
r0067	2024-06-O-s1.1	2024-06-07
r0068	2025-05-I-hm.1	2025-05-27
r0070	2025-05-I-mm.1	2025-05-27
r0071	2025-05-I-og.1	2025-05-27
r0077	2024-07-O-s8.1	2024-07-03
r0079	2025-04-I-hm.4	2025-04-22
r0080-1	2025-05-I-hm.2	2025-05-27
r0083	2025-03-I-hm.1	2025-04-01
r0083-2	2025-03-I-hm.2	2025-04-01
r0084	2025-03-I-hm.3	2025-04-01
r0085	2025-05-O-s8.1	2025-05-08
r0086	2025-06-I-hm.1	2025-06-19
r0087	2025-07-I-hm.1	2025-07-24
r0088	2025-05-O-s8.2	2025-05-08
r0094	2025-05-O-s8.3	2025-05-08
r0097	2025-03-I-hm.4	2025-04-01
r0098	2025-07-I-hm.2	2025-07-24
r0099	2025-04-M-s8.1	2025-04-10
r0100	2025-05-O-s1.1	2025-05-08
r0101	2025-05-O-s1.2	2025-05-08
r0102	2025-03-I-mm.1	2025-04-01
r0103	2025-05-M-s4.1	2025-05-15
r0104	2025-07-O-s4.1	2025-07-01
r0105	2025-04-O-s4.1	2025-04-08
r0106	2025-05-O-s4.1	2025-05-08
r0107	2025-06-M-s4.1	2025-06-10
r0108	2025-09-M-s0.1	2025-09-10
r0109	2025-09-M-s0.2	2025-09-10
r0110	2025-10-I-hm.1	2025-10-30
r0111	2025-10-I-mm.1	2025-10-30
r0112	2025-10-I-og.1	2025-10-30
r0113	2026-01-O-s4.1	2026-01-07
r0114	2026-01-O-s8.1	2026-01-07
r0115	2025-07-M-s4.1	2025-07-08
r0116	2025-10-M-s1.1	2025-10-09
r0117	2025-10-O-s4.1	2025-10-02
r0118	2026-02-O-s4.1	2026-02-04
r0119	2026-02-O-s8.1	2026-02-04
r0120	2025-12-O-s4.1	2025-12-03
r0121	2025-12-O-s8.1	2025-12-03
r0122	2025-12-I-hm.1	2025-12-20
r0123	2024-12-I-hm.1	2024-12-19
r0124	2024-12-I-og.1	2024-12-19
